#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Year,Time,Added At
1,Existence,Geoxor,25,"gaming edm, speedrun",Dance/Electronic,Existence,2016,4:01,2021-03-12
2,Cheese,Geoxor,34,"gaming edm, speedrun",Dance/Electronic,Stardust,2019,4:41,2021-03-12
3,Thrones - Last Heroes Remix,"Satellite Empire,Last Heroes",40,"chillstep, future bass, melodic dubstep, pop edm",Dance/Electronic,Thrones (The Second Canon),2017,4:24,2021-03-12
4,Ember,"Fransis Derelle,CRaymak,HVDES",42,"dubstep, dark clubbing, electra","Dance/Electronic, Pop",Ember,2020,3:13,2021-03-12
5,Arabian Nights,"RudeLies,Facading",45,"gaming edm, pop edm,",Dance/Electronic,Arabian Nights,2019,3:02,2021-03-12
6,This Feeling,Noisestorm,49,"chillstep, edm, electro house, gaming edm, speedrun",Dance/Electronic,This Feeling,2016,4:21,2021-03-12
7,Lost In Translation,"Steam Phunk,Lydia Ford",24,"pop edm,",,Lost In Translation,2018,3:16,2021-03-12
8,Voices,"Bossfight,Philip Strand",42,"chiptune, electro house, gaming edm, speedrun, deep pop edm",Dance/Electronic,Voices,2020,4:09,2021-03-12
9,Terraria,Exyl,38,,,Terraria,2020,2:52,2021-03-12
10,Apollo,Take/Five,31,"bass trap, electronic trap, traprun, vapor twitch",Dance/Electronic,Apollo,2020,2:20,2021-03-12
11,Demons,"Rival,Max Hurrell,Veronica Bravo",38,"gaming edm, pop edm, traprun,",Dance/Electronic,Demons,2019,3:47,2021-03-12
12,hollywood smile,"SAMAHTA,Lena Leon",33,"traprun,",Dance/Electronic,hollywood smile,2019,3:36,2021-03-12
13,Looking for Love,"Mickey Valen,Blest Jones",24,"bass trap, pop edm, traprun,",Dance/Electronic,Looking for Love,2019,3:02,2021-03-12
14,Meet Me - Olmos Remix,"Mickey Valen,Noé,Olmos",11,"bass trap, pop edm, traprun",Dance/Electronic,Meet Me (Remixes),2017,3:53,2021-03-12
15,Wildcard,"Mickey Valen,Feli Ferraro",47,"bass trap, pop edm, traprun,",Dance/Electronic,Wildcard,2017,3:15,2021-03-12
16,My Mind,"Mickey Valen,Emily Vaughn",38,"bass trap, pop edm, traprun, electropop, indie electropop, indie poptimism","Dance/Electronic, Pop",My Mind,2020,2:21,2021-03-12
17,Wildcard - Sex Whales Remix,"Mickey Valen,Feli Ferraro,Whales",30,"bass trap, pop edm, traprun, dubstep, gaming dubstep, gaming edm",Dance/Electronic,Wildcard (Remixes),2017,3:54,2021-03-12
18,Meet Me,"Mickey Valen,Noé",55,"bass trap, pop edm, traprun,",Dance/Electronic,Meet Me,2016,3:13,2021-03-12
19,Game Over,"Mickey Valen,Lenii",40,"bass trap, pop edm, traprun, irish pop","Dance/Electronic, Pop",Game Over,2020,2:32,2021-03-12
20,Things I Do,Türküm,17,"bass trap, electronic trap, traprun, turkish trap",Dance/Electronic,Things I Do,2016,3:26,2021-03-12
21,Lacrimosa,Apashe,56,"bass trap, traprun",Dance/Electronic,Requiem,2018,3:37,2021-03-12
22,Commander feat. Panther - Original Mix,Apashe,33,"bass trap, traprun",Dance/Electronic,Tank Girls,2015,4:22,2021-03-12
23,The Landing,"Apashe,Wasiu",38,"bass trap, traprun, canadian hip hop","Dance/Electronic, Hip Hop",Copter Boy,2016,4:06,2021-03-12
24,Trap Requiem - Original Mix,"Apashe,Tha Trickaz",40,"bass trap, traprun,",Dance/Electronic,Trap Requiem,2015,4:24,2021-03-12
25,Sand Storm feat. Odalisk - Original Mix,Apashe,54,"bass trap, traprun",Dance/Electronic,Golden Empire,2014,4:21,2021-03-12
26,I'm Fine,"Apashe,High Klassified,Cherry Lena",44,"bass trap, traprun, canadian hip hop, rap montrealais, substep, vapor twitch,","Dance/Electronic, Hip Hop, Latin",Renaissance,2020,3:13,2021-03-12
27,Work,"Apashe,Vo Williams",53,"bass trap, traprun,",Dance/Electronic,Renaissance,2020,4:02,2021-03-12
28,Uebok Gotta Run,"Apashe,INSTASAMKA",57,"bass trap, traprun, russian hip hop","Dance/Electronic, Hip Hop",Renaissance,2020,2:43,2021-03-12
29,Lord & Master,Apashe,50,"bass trap, traprun",Dance/Electronic,Renaissance,2020,4:16,2021-03-12
30,Distance,"Apashe,Geoffroy",54,"bass trap, traprun, indie quebecois","Dance/Electronic, Blues",Renaissance,2020,3:39,2021-03-12
31,Overture,Apashe,42,"bass trap, traprun",Dance/Electronic,Renaissance,2020,2:13,2021-03-12
32,Rain,"Apashe,KROY",41,"bass trap, traprun, indie quebecois","Dance/Electronic, Blues",Renaissance,2020,3:19,2021-03-12
33,Behind My Eyes,"Apashe,LIA",48,"bass trap, traprun,",Dance/Electronic,Renaissance,2020,3:22,2021-03-12
34,Lettre à élise,Efisio Cross,44,epicore,Easy listening,Crown of Thorns,2020,4:42,2021-03-12
35,Eye of the Storm,"GHOST DATA,Skye Light",43,"dark clubbing, future bass, future funk,",Dance/Electronic,Eye of the Storm,2020,6:23,2021-03-12
36,Confessions,"MYRNE,Cozi Zuehlsdorff",44,"bass trap, edm, electro house, future bass, gaming edm, pop edm, singaporean electronic, singaporean pop, vapor twitch,","Dance/Electronic, Pop",Confessions,2017,4:20,2021-03-12
37,Breakdown VIP,Noisestorm,49,"chillstep, edm, electro house, gaming edm, speedrun",Dance/Electronic,Breakdown VIP,2014,3:54,2021-03-12
38,Samurai,Rameses B,48,"chillstep, complextro, edm, electro house, gaming edm, melodic dubstep",Dance/Electronic,Samurai,2021,4:08,2021-03-12
39,Shapes & Shifts,Eminence,28,"electro house, gaming edm",Dance/Electronic,Universe,2015,4:30,2021-03-12
40,Turning Point,Panda Eyes,22,"edm, gaming edm, speedrun",Dance/Electronic,Continue,2017,3:35,2021-03-12
